[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 34 UIKitCore                      0x00000001991d1df0 UIApplicationMain + 164
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 35 QQMusic                        0x0000000101034e50 main + 136
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 36 libdyld.dylib                  0x000000019640dcf0 0x000000019640c000 + 7408
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Exception Type: NSInternalInconsistencyException(SIGABRT)
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Exception Codes: logProtocol not nil! at 0x00000001c4a0f334
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Crashed Thread: 0
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 0 Crashed:
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c4a0f330 __pthread_kill + 4
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 6  libc++abi.dylib                0x00000001ab385fa0 0x00000001ab373000 + 77728
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 22 libdyld.dylib                  0x000000019640dcf0 0x000000019640c000 + 7408
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 1:
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c4a0f0c0 __psynch_cvsignal + 40
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 2  ilink                          0x0000000118158030 0x0000000118100000 + 360496
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 3  ilink                          0x00000001181964c0 0x0000000118100000 + 615616
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 4  libsystem_pthread.dylib        0x00000001e2458bf0 _pthread_start + 308
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 2:
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c4a100a0 __workq_kernreturn + 4
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 3:
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c4a0f0c0 __psynch_cvsignal + 40
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 2  WeAppCoreSDK                   0x0000000115f37af0 0x0000000115410000 + 11696880
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 3  WeAppCoreSDK                   0x0000000115f668f0 0x0000000115410000 + 11888880
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 4  libsystem_pthread.dylib        0x00000001e2458bf0 _pthread_start + 308
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.294][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 4:
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c49ea4f0 host_self_trap + 8
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 5:
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c4a100a0 __workq_kernreturn + 4
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 6:
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c4a100a0 __workq_kernreturn + 4
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 7 Name: AVAudioSession Notify Thread
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 7:
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c49ea4f0 host_self_trap + 8
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 8:
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c4a0f0c0 __psynch_cvsignal + 40
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 2  QQMusic                        0x0000000108167190 _ZN9Condition4waitEl + 56
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 3  QQMusic                        0x0000000108164d50 _ZL18__async_log_threadv + 188
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 4  QQMusic                        0x00000001081681f0 _ZN6Thread13start_routineEPv + 76
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 5  libsystem_pthread.dylib        0x00000001e2458bf0 _pthread_start + 308
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] Thread 9:
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main] 0  libsystem_kernel.dylib         0x00000001c4a100a0 __workq_kernreturn + 4
[E][2021-08-27 +8.0 12:54:55.295][41257, 10754431104*][][CrashReporterSender.m, QMHandlerCrashEx, 140][T:main]
